Title,Price,Price/m2,Area,Living Area,Legal Documents,Rooms,Toilets,Address
[CHÍNH CHỦ] Bán tòa CHDV dòng tiền 100tr/tháng – Trung tâm Phú Nhuận,"19,9 tỷ","251,90 triệu/m²",79 m²,314.8 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"Đường Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh"
Nhà lê văn quới gần 4 xã 4x20m 4 tấm 5pn 5wc,"6,8 tỷ",85 triệu/m²,80 m²,80 m²,Đã có sổ,5 phòng,5 phòng,"', Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh"
"cần bán nhà 1 trệt 2 lầu Tân Đông Hiệp , TP Dĩ An , BD","4,989 tỷ","76,76 triệu/m²",65 m²,130 m²,Đã có sổ,4 phòng,4 phòng,"Đường D3, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương"
"Nhà mới chính chủ full giá 2,25 tỷ hẻm thông có sân thượng","2,25 tỷ","70,31 triệu/m²",32 m²,110 m²,Đã có sổ,2 phòng,2 phòng,"Đường Tỉnh lộ 10, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh"
THẬT 100% HIẾM 6.85 TỶ MẶT TIỀN 11x4m CN:~ 40m2 .2 TẦNG PHAN VĂN TRI,"6,85 tỷ","171,25 triệu/m²",40 m²,100 m²,Đã có sổ,3 phòng,2 phòng,"Đường Phan Văn Trị, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh"
BÁN NHÀ HẺM XH - 4 TẦNG - 4P. NGỦ - PHAN HUY ÍCH - F 15 - TÂN BÌNH,"6,4 tỷ","82,05 triệu/m²",78 m²,196 m²,Đã có sổ,4 phòng,4 phòng,"Đường Phan Huy ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh"
chính chủ gửi nhà trước cổng sân bay Long Thành Đường N6- An Thuận.,"5,3 tỷ","56,56 triệu/m²",93.7 m²,93.7 m²,Đã có sổ,4 phòng,6 phòng,"Đường Tôn Đức Thắng, Xã Long An, Huyện Long Thành, Đồng Nai"
THẬT100% THU NHẬP 50 TR/THÁNG HẺM 8M 6 LẦU THANG MÁY 4.2x18m. CN: 75M2,"15,8 tỷ","210,67 triệu/m²",75 m²,400 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"Đường Lê Văn Sỹ, Phường 1, Quận Tân Bình, Tp Hồ Chí Minh"
"NHÀ 3 TẦNG HẺM 10M THÔNG, NGAY VÕ VĂN KIỆT, SÁT BÊN Q6, 56m2, 5,x Tỷ","5,89 tỷ","105,18 triệu/m²",56 m²,56 m²,Đã có sổ,4 phòng,3 phòng,"Đường Phú Định, Phường 16, Quận 8, Tp Hồ Chí Minh"
THẬT 100% THU 70 TRIỆU/THÁNG HẺM 8M 14 PHÒNG 6 LẦU KHU PHAN ĐĂNG LƯU,"14,9 tỷ","186,25 triệu/m²",80 m²,450 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"Đường Phan Đăng Lưu, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh"
CHÍNH CHỦ BÁN RẤT GẤP NHÀ GÒ VẤP MỚI XÂY ĐÚC 3LẦU HẺM XE HƠI,"7,65 tỷ","156,12 triệu/m²",49 m²,200 m²,Đã có sổ,4 phòng,5 phòng,"105/, Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh"
Chính chủ cần bán gấp căn hộ dịch vụ,"11,5 tỷ","93,50 triệu/m²",123 m²,480 m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,"88, Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh"
Nhà mặt ngõ Lạc Long Quân Tây Hồ 30m 6T gần phố gần bãi oto 7.99 tỷ,"7,99 tỷ","266,33 triệu/m²",30 m²,30 m²,Đã có sổ,3 phòng,4 phòng,"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội"
BÁN NHÀ TAM HIỆP 6*21 ĐƯỜNG XE HƠI,"3,3 tỷ","26,19 triệu/m²",126 m²,126 m²,Đã có sổ,2 phòng,1 phòng,"Đường Phạm Văn Thuận, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai"
THẬT 100% HIẾM RẺ 125 triệu/m2 Hẻm 6m (6.5x28m.160m2) Phan Đăng Lưu,"19,98 tỷ","124,88 triệu/m²",160 m²,450 m²,Đã có sổ,5 phòng,6 phòng,"Đường Phan Đăng Lưu, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh"
